RK,Name,Team,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
216,Kadarius Toney,KC,WR,13,27,38,169,6.3,1,18,0,13.0,1,0,128,12
217,Dyami Brown,WSH,WR,17,12,23,168,14.0,1,35,2,9.9,0,0,76,8
218,Tyler Scott,CHI,WR,17,17,32,168,9.9,0,30,1,9.9,1,1,70,10
219,Connor Heyward,PIT,TE,17,23,34,167,7.3,0,13,0,9.8,0,0,94,8
220,David Bell,CLE,WR,15,14,23,167,11.9,3,41,3,11.1,0,0,73,9
221,James Conner,ARI,RB,13,27,33,165,6.1,2,34,2,12.7,0,0,211,11
222,Olamide Zaccheaus,PHI,WR,17,10,20,164,16.4,2,34,4,9.6,0,0,52,7
223,Drew Sample,CIN,TE,17,22,27,163,7.4,2,22,1,9.6,0,0,173,9
224,Elijah Higgins,ARI,TE,11,14,19,163,11.6,1,26,3,14.8,0,0,67,9
225,Lil'Jordan Humphrey,DEN,WR,17,13,19,162,12.5,3,54,1,9.5,0,0,99,9
226,Mo Alie-Cox,IND,TE,17,13,22,161,12.4,3,35,2,9.5,0,0,80,9
227,Scotty Miller,ATL,WR,17,11,16,161,14.6,2,56,2,9.5,0,0,80,6
228,Byron Pringle,WSH,WR,17,14,22,161,11.5,0,26,1,9.5,0,0,31,7
229,Jaleel McLaughlin,DEN,RB,17,31,36,160,5.2,2,22,1,9.4,0,0,290,5
230,Jamison Crowder,WSH,WR,17,16,20,159,9.9,1,26,1,9.4,0,0,80,8
231,Ty Chandler,MIN,RB,17,21,25,159,7.6,0,19,0,9.4,0,0,201,7
232,John Metchie III,HOU,WR,16,16,30,158,9.9,0,22,1,9.9,0,0,84,7
233,Chase Brown,CIN,RB,12,14,15,156,11.1,1,54,2,13.0,0,0,194,4
234,Luke Farrell,JAX,TE,17,13,15,155,11.9,0,42,2,9.1,0,0,96,5
235,Stone Smartt,LAC,TE,16,11,21,155,14.1,1,51,3,9.7,0,0,56,6
