RK,Name,Team,POS,GP,ATT,YDS,AVG,LNG,TD,ATT,YDS,AVG,LNG,TD,FC
87,Ronnie Rivers,LAR,RB,9,1,16,16.0,16,0,0,0,0.0,0,0,0
88,Hunter Luepke,DAL,RB,17,2,15,7.5,15,0,0,0,0.0,0,0,0
89,Scotty Miller,ATL,WR,17,1,14,14.0,14,0,1,4,4.0,4,0,1
90,Mecole Hardman,KC/NYJ,WR,11,1,14,14.0,14,0,7,61,8.7,50,0,5
91,Kyle Philips,TEN,WR,9,1,13,13.0,13,0,4,23,5.8,12,0,0
92,Dee Alford,ATL,CB,16,2,13,6.5,8,0,20,160,8.0,23,0,7
93,Myles Bryant,NE,CB,17,1,11,11.0,11,0,15,105,7.0,15,0,12
94,Quez Watkins,PHI,WR,9,1,11,11.0,11,0,0,0,0.0,0,0,0
95,Keith Smith,ATL,FB,13,1,10,10.0,10,0,0,0,0.0,0,0,0
96,John Bates,WSH,TE,17,1,10,10.0,10,0,0,0,0.0,0,0,0
97,Trenton Irwin,CIN,WR,16,1,8,8.0,8,0,10,98,9.8,28,0,5
98,Kyren Williams,LAR,RB,12,1,8,8.0,8,0,3,21,7.0,11,0,5
99,Olamide Zaccheaus,PHI,WR,17,1,7,7.0,7,0,0,0,0.0,0,0,0
100,Deonte Harty,BUF,WR,16,1,7,7.0,7,0,26,323,12.4,96,1,25
101,George Pickens,PIT,WR,17,1,7,7.0,7,0,0,0,0.0,0,0,0
102,Michael Pittman Jr.,IND,WR,16,0,5,0.0,5,0,0,0,0.0,0,0,0
103,Chris Manhertz,DEN,TE,16,1,1,1.0,1,0,0,0,0.0,0,0,0
104,Malik Heath,GB,WR,13,1,1,1.0,1,0,0,0,0.0,0,0,0
105,Robert Woods,HOU,WR,14,0,0,0.0,0,0,7,42,6.0,12,0,10
106,Bobby McCain,NYG,S,9,0,0,0.0,0,0,1,0,0.0,0,0,0
107,Joe Cardona,NE,LS,17,0,0,0.0,0,0,0,0,0.0,0,0,0
108,Jamison Crowder,WSH,WR,17,0,0,0.0,0,0,35,278,7.9,61,0,14
109,Kevon Seymour,BAL,CB,8,0,0,0.0,0,0,0,0,0.0,0,0,0
110,Kalif Raymond,DET,WR,17,0,0,0.0,0,0,29,331,11.4,42,0,23
111,Corey Levin,TEN,C,16,0,0,0.0,0,0,0,0,0.0,0,0,0
112,Sterling Shepard,NYG,WR,15,0,0,0.0,0,0,3,10,3.3,5,0,2
113,Alex Erickson,LAC,WR,8,0,0,0.0,0,0,0,0,0.0,0,0,0
114,Trent Taylor,CHI,WR,17,0,0,0.0,0,0,23,188,8.2,31,0,21
115,Antonio Hamilton Sr.,ARI,CB,15,0,0,0.0,0,0,1,0,0.0,0,0,0
116,Brandon Powell,MIN,WR,17,0,0,0.0,0,0,37,289,7.8,25,0,14
117,Jabrill Peppers,NE,S,15,0,0,0.0,0,0,4,26,6.5,18,0,3
118,Curtis Bolton,LV,LB,13,0,0,0.0,0,0,1,17,17.0,17,0,0
119,Adoree' Jackson,NYG,CB,14,0,0,0.0,0,0,0,0,0.0,0,0,1
120,Tremon Smith,DEN,CB,17,0,0,0.0,0,0,1,14,14.0,14,0,0
121,Hunter Renfrow,LV,WR,17,0,0,0.0,0,0,0,0,0.0,0,0,0
122,D.J. Reed,NYJ,CB,15,0,0,0.0,0,0,0,0,0.0,0,0,1
123,Christian Kirk,JAX,WR,12,0,0,0.0,0,0,2,27,13.5,15,0,3
124,Darius Slayton,NYG,WR,17,0,0,0.0,0,0,0,0,0.0,0,0,1
125,Lawrence Cager,NYG,TE,11,1,0,0.0,0,0,0,0,0.0,0,0,0
126,Samori Toure,GB,WR,11,0,0,0.0,0,0,1,0,0.0,0,0,0
127,Michael Bandy,DEN,WR,1,0,0,0.0,0,0,0,0,0.0,0,0,2
128,Nick McCloud,NYG,CB,17,0,0,0.0,0,0,1,0,0.0,0,0,0
129,Cedrick Wilson Jr.,MIA,WR,15,0,0,0.0,0,0,4,30,7.5,14,0,2
130,Mason Kinsey,TEN,WR,6,0,0,0.0,0,0,11,100,9.1,21,0,6
131,Ihmir Smith-Marsette,CAR,WR,17,0,0,0.0,0,0,37,322,8.7,79,1,20
132,Kadarius Toney,KC,WR,13,0,0,0.0,0,0,6,58,9.7,21,0,0
133,Marcus Jones,NE,CB,2,0,0,0.0,0,0,3,21,7.0,21,0,1
134,Calvin Austin III,PIT,WR,17,0,0,0.0,0,0,29,249,8.6,34,0,12
135,Jalen Tolbert,DAL,WR,17,0,0,0.0,0,0,1,0,0.0,0,0,0
136,Charlie Jones,CIN,WR,11,0,0,0.0,0,0,23,248,10.8,81,1,11
137,Donovan Peoples-Jones,CLE/DET,WR,15,0,0,0.0,0,0,13,84,6.5,13,0,8
138,Cole Kmet,CHI,TE,17,1,0,0.0,0,0,0,0,0.0,0,0,0
139,Kearis Jackson,TEN,WR,2,0,0,0.0,0,0,6,48,8.0,14,0,3
140,Jayden Reed,GB,WR,16,0,0,0.0,0,0,11,94,8.5,35,0,14
141,Eric Garror,TEN,CB,12,0,0,0.0,0,0,21,159,7.6,15,0,5
142,Andrei Iosivas,CIN,WR,16,0,0,0.0,0,0,1,0,0.0,0,0,0
143,Ronnie Bell,SF,WR,17,1,0,0.0,0,0,10,70,7.0,17,0,4
144,Elijah Moore,CLE,WR,17,0,0,0.0,0,0,2,23,11.5,13,0,0
145,Rondale Moore,ARI,WR,17,0,0,0.0,0,0,1,11,11.0,11,0,3
146,Amon-Ra St. Brown,DET,WR,16,0,0,0.0,0,0,0,0,0.0,0,0,0
147,Jake Camarda,TB,P,17,0,0,0.0,0,0,0,0,0.0,0,0,0
148,Kyle Dugger,NE,S,17,0,0,0.0,0,0,0,0,0.0,0,0,0
149,Tevaughn Campbell,JAX,CB,2,0,0,0.0,0,0,1,0,0.0,0,0,0
150,Roschon Johnson,CHI,RB,15,1,0,0.0,0,0,0,0,0.0,0,0,0
151,DeMario Douglas,NE,WR,14,0,0,0.0,0,0,11,56,5.1,25,0,10
152,Bijan Robinson,ATL,RB,17,0,0,0.0,0,0,1,8,8.0,8,0,0
153,Deuce Vaughn,DAL,RB,7,0,0,0.0,0,0,4,19,4.8,11,0,1
154,Damarion Williams,BAL,CB,1,0,0,0.0,0,0,0,0,0.0,0,0,1
